Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Saraswati Dental Clinic ( Microscopic Root Canal Center and Exclusive Pediatric Dental clinic ),,6360611690,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
"Warad Hi-Tech Dental Clinic, - Best dental clinic in Vijayapur",,8352257949,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
MILLION SMILES DENTAL CLINIC and IMPLANT CENTER (BEST DENTAL CLINIC IN VIJAYAPUR),,9164558261,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Kallur Dentistry,,8550855855,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
"CHOUDHARI DENTAL, face and jaw clinic",,9448470918,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
IRHA Multi Speciality Dental & Cosmetology Clinic,,9740783973,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Bhavani Prime Dental Care and Implant Center,,6829669985,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Punekar Dental clinic,,9902279127,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Pragatti dental care,,9740763523,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Dr More's Multispeciality Dental Clinic & Advanced Root Canal Centre,,9845186066,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Dr.Jogur's Dental Clinic and Implant Centre,,7259678378,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Shahapur Dental Clinic,,9986311595,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Shree Laxmi Dental Clinics And Research Center,,7829233043,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Kotwal Dentofacial Cosmetic Centre,,9845717515,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
A K Dental And Facial Aesthetic Center( Dr Asiya Kaladgi),,8660834259,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
JB Dental Clinic,,9986116602,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
"Dr Roopa Shahapur's Multispeciality Dental clinic, venkatgiri colony solapur road vijayapur",,9449856474,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Janagond Skin & Dental Clinic,,9482596434,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Devagirkar Dental,,9739317266,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
devagirkar's dental clinic,,9449261070,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Patil Dental Clinic,,9739327736,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Totad Speciality Dental Clinic,,9844202109,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
A R DENTAL CLICNIC AND COSMETOLOGY CENTER,,8088044753,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
"Dr PRAMOD PATIL'S, Shree Laxmi Advanced Dental And Maxillofacial Clinic",,9980777017,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Rutusangam Multispecialty Dental Clinic And Tobacco De Addiction Centre,,7204611725,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
SHRI SHAKAMBARI DENTAL CLINIC,,8050333050,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Modern Dental Clinic. Dr Bhusnur,,8352245793,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
ARADHYA MULTISPECIALITY DENTAL & GENERAL CLINIC,,9845155584,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Dentalpoint Multi-speciality Dental Clinic,,6829669985,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Siddeshwar dental clinic,,6829669985,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Shahapur's Basava Dental Clinic,,9113633961,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Dr Mujawar Dental Clinic Bijapur,,9844319055,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
MAXCARE SUPERSPECIALITY HOSPITALS AND DENTISTRY,,8352350388,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Lata Multispeciality Dental and Cosmetic Clinic,,9632578489,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Core Dental Care,,8310429986,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Shifa Dental Clinic,,7619298551,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Kulkarni Dental Care,,9845365220,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Bangi Dental Surgeon Clinic,,9448035979,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Toshniwal's Dentistry,,9380979970,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
ESHA DENTAL CARE,,6360285880,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
ARADHYA DENTAL CLINIC,,9480780234,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
The Horizon Dental Care,,7975765121,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Dr. Geetha Patil Dental Clinic,,9902005333,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Nehal Dental Clinic,,7204716780,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Parshav Dental Clinic,,9606655070,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
JAMBAGI DENTAL CLINIC,,9986144521,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Kiran Speciality Dental Clinic,,9980372705,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Kotwal Dental & Maxillofacial Surgery Centre,,9448179787,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
KSMILES COSMETIC DENTAL CLINIC AND IMPLANT CENTER,,9164558261,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Santosh Dental Clinic,,9986706306,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Sangameshwar Dental Clinic,,8352220375,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Mallikarjun Dental Clinic Bijapur,,9399982562,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Ocare Dental Clinic,,8050613914,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Yankachi dental clinic,,8352271076,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
Max care speciality clinic,,9538944441,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
OMKAR CLINIC Mr MELLAPPA,,8123307689,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
OraPearl Dental Cosmetic & Hair Clinic,,,Vijayapura,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Hitech Dental clinic,,6362878599,Vijayapura,Dental Clinic,Y,,,,2026-03-16,
