Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Iron Paradise Fitness Club,,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
I fitness gym,,8088230406,Vijayapura,Gym,Y,,,,2026-03-16,
Kesari Fitness Club,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Olympia The Fitness Club,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
Ironfist unisex gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Swati's fitness world (gym & fitness),,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
Olympic Gym & Fitness Club,,9599786870,Vijayapura,Gym,Y,,,,2026-03-16,
Fitness Dynasty,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
GRYFFIN Gym and Fitness,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
TITANS FITNESS HUB,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
National Gym,,6363735900,Vijayapura,Gym,Y,,,,2026-03-16,
BEING STRONG FITNESS CLUB,,8884988499,Vijayapura,Gym,Y,,,,2026-03-16,
FITMAN GYM,,8088230406,Vijayapura,Gym,Y,,,,2026-03-16,
Healthline Fitness,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Slimwell fitness Club,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Diamond Gym,,9964898112,Vijayapura,Gym,Y,,,,2026-03-16,
Flexfit Ladies Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Step inn,,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
PowerCore Fitness,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Fitness 1 Gym,,8088230406,Vijayapura,Gym,Y,,,,2026-03-16,
M POWER HOUSE GYM,,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
MUSCLE ZONE FITNESS,,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
Vikas Fitness Era,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
F2 FITNESS,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
ROYAL FITNESS CLUB,,9606292802,Vijayapura,Gym,Y,,,,2026-03-16,
ZEUS FITNESS VIJAYAPURA,,7829243111,Vijayapura,Gym,Y,,,,2026-03-16,
Hyder Gym,,8904213591,Vijayapura,Gym,Y,,,,2026-03-16,
A Bodyline Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
True Fitness,,7411114444,Vijayapura,Gym,Y,,,,2026-03-16,
The Gym bro,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
ROHITT POWERFIT,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
DESAI GYM AND FITNESS CENTER (Ladies Gym),,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Autobots Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Lifeline Gym,,7942566278,Vijayapura,Gym,Y,,,,2026-03-16,
Patel Gym,,8050245298,Vijayapura,Gym,Y,,,,2026-03-16,
Horti complex,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Tasneem fitness gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Success Fitness center,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
karate class and fitness club,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Healthline Enterprise,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
VK Fitness,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Shri Bajarangi Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Vilas Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Being Strong Fitness Club-2,,8884988499,Vijayapura,Gym,Y,,,,2026-03-16,
Kaveri production fitness and dance studio,,8217740490,Vijayapura,Gym,Y,,,,2026-03-16,
Nandi Fitness center,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
V1 Fitness vijayapura,,9396926208,Vijayapura,Gym,Y,,,,2026-03-16,
The Bijapur Gymkhana Club,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Indian tiger gym,,8888888889,Vijayapura,Gym,Y,,,,2026-03-16,
NIKITESH LINGAYAT,,8559284470,Vijayapura,Gym,Y,,,,2026-03-16,
BOX TO FIT,,9448067061,Vijayapura,Gym,Y,,,,2026-03-16,
Winners Health club,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Gym and herbalife nutrition club,,9108887773,Vijayapura,Gym,Y,,,,2026-03-16,
Sip Abacus and Brain Gym,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
Afton Treadmill & Gym Equipment Store,,9445163701,Vijayapura,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Balaji Moreshwar Joshi | Baby care products | Sports | Surgical | Sporting Equipment,,,Vijayapura,Gym,Y,,,,2026-03-16,PHONE MISSING
