Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Aspire Spirit Spoken English Classes,,9036175900,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Unique Zeal | English & Computer | Training Center,,7676110088,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
SB WISDOM CAREER ACADEMY VIJAYAPUR,,9902191927,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Noble Neet Academy,,7022552004,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Shree Mata IAS & KAS Academy,,9483153074,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Creative Study Circle Banking Academy,,9902542748,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
AIMS INSTITUTE OF TECHNOLOGY Computer Training Center,,9844252221,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Dr BR Ambedkar Officers academy Vijayapur,,8088993807,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Brilliant Coaching Classes,,8951938899,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Target Coaching Centre Vijayapur,,9900667411,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
VARUN SIR'S SPOKEN ENGLISH CLASS,,9036539850,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
Rudset Vijayapura,,8904392161,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
VED COACHING ACADEMY,,8147379963,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
BLDE (Deemed to be University),,8352262770,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
The IELTS Academy,,8022355537,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
DRONAS CAREER ACADEMY,,7742235597,Vijayapura,IELTS Coaching,Y,,,,2026-03-16,
