Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
CFOLIOS DESIGN AND CONSTRUCTION SOLUTIONS PVT. LTD.,,8352223999,Vijayapura,Interior Designer,Y,,,,2026-03-16,
New Moon Interiors,,8147615131,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Sulakhe UPVC Interiors,,7892959441,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Style My Space Home Decor,,8660091245,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Elevation Designer | Interior Designer,,7019669353,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Dwell architects and trainers,,9148347122,Vijayapura,Interior Designer,Y,,,,2026-03-16,
VIDWAT ASSOCIATES,,7892787054,Vijayapura,Interior Designer,Y,,,,2026-03-16,
DREAM HOME DECORS,,8277537870,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Parasmani Interior Studio,,8352255095,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Husain Interior and Elevation Designers,,7019669353,Vijayapura,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Namma Orion Constructions,,9902119188,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Stylinn decor interior design Bijapur,,8792393595,Vijayapura,Interior Designer,Y,,,,2026-03-16,
QURAISHI ARCHITECTS,,9880732315,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Aladi Constructions & Interiors Vijayapura,,8660500045,Vijayapura,Interior Designer,Y,,,,2026-03-16,
SVAMITVA CONSTRUCTION PVT LTD,,8951594515,Vijayapura,Interior Designer,Y,,,,2026-03-16,
LivElita,,8120709960,Vijayapura,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Dream home Decors,,,Vijayapura,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
Studio Grey Architects,,7899820351,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Creative home interior,,9113801795,Vijayapura,Interior Designer,Y,,,,2026-03-16,
"Livspace - Modular Kitchens & Wardrobes, Banjara Cross",,8047759147,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Ameer interior,,9164367867,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Krishna furniture & interior,,8302487154,Vijayapura,Interior Designer,Y,,,,2026-03-16,
kembhavi interior,,7411911443,Vijayapura,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Belaku Consultants,,8861798221,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Studio Crespa,,6366955008,Vijayapura,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Porwal Interior Hub,,7411827712,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Building Construction,,9880908786,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Ib company,,7019253866,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Asian Paints Colour Cube - MSM Agency,,8045949944,Vijayapura,Interior Designer,Y,,,,2026-03-16,
MR INTERIORS & FURNITURE,,6360505870,Vijayapura,Interior Designer,Y,,,,2026-03-16,
"Gani Interio - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178586,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Sameer Steel Interior And Decorator,,7355679856,Vijayapura,Interior Designer,Y,,,,2026-03-16,
HOME DECOR INTERIOR VIJAYPUR,,9481756333,Vijayapura,Interior Designer,Y,,,,2026-03-16,
"KAFF Kitchen Appliances Brand Store-New Kitchen World, Banjara Nagar",,8951972835,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Dange Arts,,7624839538,Vijayapura,Interior Designer,Y,,,,2026-03-16,
MANISH DEVAGIRKAR ARCHITECTS,,9886232111,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Sai creative arts,,7259150010,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Oswal Associates,,8147317290,Vijayapura,Interior Designer,Y,,,,2026-03-16,
UNIVERSAL CNC ROUTING,,9945643680,Vijayapura,Interior Designer,Y,,,,2026-03-16,
ARAVIND AGENCIES,,9886332759,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Sara home decor,,8792393595,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Shri Banashankari furnishings and home decor,,8951404946,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Yashasvi interior and decor,,9036502641,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Royaloak Furniture Vijayapura,,7942811859,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Elite woods,,9844054792,Vijayapura,Interior Designer,Y,,,,2026-03-16,
RCB CONSTRUCTIONS,,9741545850,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Asian Paints Colourideas - Hira Paints & Home Solutions,,8422809162,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Nilkamal Homes- Premium Furniture and Homeware store,,8431371699,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Baheti BuildTech,,9241191383,Vijayapura,Interior Designer,Y,,,,2026-03-16,
SHREE SAI INTERIOR,,6360341591,Vijayapura,Interior Designer,Y,,,,2026-03-16,
SHRI ENTERPRISES,,8151877775,Vijayapura,Interior Designer,Y,,,,2026-03-16,
painter4you,,7411852182,Vijayapura,Interior Designer,Y,,,,2026-03-16,
Attar construction and design,,7019689918,Vijayapura,Interior Designer,Y,,,,2026-03-16,
S K Nath POP Designs,,9945817003,Vijayapura,Interior Designer,Y,,,,2026-03-16,
