Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Physics Wallah Vidyapeeth Pathshala Coaching Center Vijayapura | IIT JEE, NEET & Foundation Classes",,7290070560,Vijayapura,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"GEJJI CAREER ACADEMY, VIJAYAPUR",,8352223177,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes in Bijapur",,7428890305,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline Vijayapura | IIT JEE, NEET Classes",,7428890305,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Vijayapura",,6362367272,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
CHANAKAYA CAREER ACADEMY. VIJAYAPUR,,8352222197,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Noble Neet Academy,,7022552004,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
SB WISDOM CAREER ACADEMY VIJAYAPUR,,9902191927,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Dr BR Ambedkar Officers academy Vijayapur,,8088993807,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
expert career academy vijayapur,,9341877408,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Creative Study Circle Banking Academy,,9902542748,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Shree Mata IAS & KAS Academy,,9483153074,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Indian Army Coaching Center Bijapur,,9113699218,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Vijayapura | IIT JEE, NEET & Foundation Classes",,6366526955,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
professionalist institute of learning [Tuition/coaching classes],,9019504801,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
BYJU'S Tuition Centre - SS Front Road,,9009002000,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
SMART CBSE COACHING CLASSES,,9632412596,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Bhavi Academy Tuition classes,,7795361622,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
"SHARADA IIT-JEE/NEET Coaching Center, Bagalkot.",,8951265073,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Flying Crystal Coaching Classes,,8884207700,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
Child Genius Academy Vijaypur,,9035217929,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
S G Career Academy Vijayapur,,8792160391,Vijayapura,JEE Coaching,Y,,,,2026-03-16,
