Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Physics Wallah Vidyapeeth Pathshala Coaching Center Vijayapura | IIT JEE, NEET & Foundation Classes",,7290070560,Vijayapura,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Noble Neet Academy,,7022552004,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes in Bijapur",,7428890305,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline Vijayapura | IIT JEE, NEET Classes",,7428890305,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
Dr BR Ambedkar Officers academy Vijayapur,,8088993807,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
"GEJJI CAREER ACADEMY, VIJAYAPUR",,8352223177,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
expert career academy vijayapur,,9341877408,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
"Aakash Institute, Vijayapura",,6362367272,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
Indian Army Coaching Center Bijapur,,9113699218,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
Genius coaching classes Vijayapur,,7259944893,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
Target Coaching Centre Vijayapur,,9900667411,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
CHANAKAYA CAREER ACADEMY. VIJAYAPUR,,8352222197,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
SB WISDOM CAREER ACADEMY VIJAYAPUR,,9902191927,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
SMART CBSE COACHING CLASSES,,9632412596,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Vijayapura | IIT JEE, NEET & Foundation Classes",,6366526955,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
Creative Study Circle Banking Academy,,9902542748,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
professionalist institute of learning [Tuition/coaching classes],,9019504801,Vijayapura,NEET Coaching,Y,,,,2026-03-16,
