Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Sarvodaya physiotherapy-Ayurveda clinic,,9886483403,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Wellness Advanced Physiotherapy Centre,,,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
REHAB 360° – Physiotherapy & Wellness,,9986478529,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Mathoshri physiotherapy n ayurvedic clinic.,,8296981002,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
"Physiofit Physiotherapy Clinic – Dr. Smita Muddebihal (BPT, MIAP)",,9482002365,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Physiotherapy clinic,,,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
RAJPAL Healthcare Center,,7483335188,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Healing Hands Multispeciality Hospital in Vijayapura,,8352352583,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Shri Sidda Shiva Neuro Clinic(SSNC) And Sumitra Stroke and Neurorehab Centre(SSNC),,7019933485,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr Yunus Choudhari,,9738826397,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Shri Bhagyavanti Multispecialty Hospital and Research Centre,,9061319405,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
GURUNANAK LABORATORY,,9880222183,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
SHRI AMOGHASIDDESHWAR LABORATORY,,8867193243,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
Vaishnavi heights,,,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Akaah,,6362367272,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Bijapur Physiotherapy Clinic,,9373706593,Vijayapura,Physiotherapy Clinic,Y,,,,2026-03-16,
