Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Anashwar - Property Solutions,,7019190196,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
SIDDHARTH REALITY (INDIA) PVT. LTD.,,6362392879,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
shriram property solutions,,7892842413,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
NEHA REALTY,,9742371057,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Sri Krishna Realty,,8197462275,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Jai malhar nivas- House rental agency | Residential Property | House Rent in Vijayapura .,,7483082456,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
BhoomiVikas Infra Realty Pvt Ltd,,9483775888,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
J K ENTERPRISES,,9538121217,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
"CityAds - Rent, Buy & Sell",,9999999776,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
"V.G.Parekh & CO , Builder & Land Developers",,6364002984,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
PAREKH INFRA,,9739223650,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Runwal Infrastructure Pvt. Ltd.,,8352263262,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Banikar Enterprise,,7899018811,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Chandra Layout,,9177036976,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
shriram consultancy service,,8792078235,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Aadhar Housing Finance Ltd,,8888899953,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Pooja Developers & Promoters,,9964818228,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Kumuda Developers,,9448120497,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
Bharatmata Residency,,7483917943,Vijayapura,Real Estate Agent,Y,,,,2026-03-16,
