Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Vandal skin care,,7892852657,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Skin City India - Skin Specialist & Dermatologist,,,Vijayapura,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin Mitra - Dr. Aiholli,,8310302282,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr. Sidramappa Warad - Best Skin Doctor in Vijayapura | Best Skin Clinic in Vijayapura,,9916654764,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Bijapur Skin Care & Cosmetogology Clinic,,,Vijayapura,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Janagond Skin & Dental Clinic,,9396926208,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Inamdar Skin Clinic,,,Vijayapura,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
DR.PATIL'S SKIN CLINIC,,9980494889,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr Shayan Haq,,9845650870,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Swara Skin Clinic,,7760717677,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr Mayuri Kalantri Jaju MBBD MD Dermatology(skin &VD),,9518979658,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
inamdar Skin Doctor Dermatologist,,,Vijayapura,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin shine clinic,,9949971818,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Elite wellness,,9611795945,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Max care speciality clinic,,9538944441,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
AURA Skincare,,9663553522,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Elegant Skin,,9148817489,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Kotwal Dentofacial Cosmetic Centre,,9845717515,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Manisha's Hair And Skin Care Centre,,9396926208,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr.Devaraj Skin Clinic,,9980798332,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr Ravi goranal clinic,,8618642844,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Papillon Cosmetics & hair transplant Centre,,8559284470,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Dr Ravindrakumar Pattar Facial Cosmetic Hair Transplant And Plastic Surgeon,,7048209169,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
Savalagi Clinic,,8884820104,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
SANJEEVINI CLINIC,,,Vijayapura,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
DR VIKAS YATAGIRI,,9900975450,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
CHIRAYU CLINIC Miss MAHESHWARI RAJASHEK,,9611343624,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
RJR HERBAL HOSPITAL - VIJAYAPURA,,7448777169,Vijayapura,Skin Clinic,Y,,,,2026-03-16,
