Business Name,City,Niche,Google Maps Search Query,Scrape Status
"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist)",Ballari,Tuition Centre,"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist) Ballari",NO WEBSITE ON MAPS
Maanas Skin Hair & Laser Clinic,Ballari,Tuition Centre,Maanas Skin Hair & Laser Clinic Ballari,NO PHONE ON SITE
"Dr Dani's Skin, Cosmetic And Laser Clinic",Ballari,Tuition Centre,"Dr Dani's Skin, Cosmetic And Laser Clinic Ballari",NO WEBSITE ON MAPS
Siddeshwara Skin Clinic,Ballari,Tuition Centre,Siddeshwara Skin Clinic Ballari,NO WEBSITE ON MAPS
"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",Ballari,Tuition Centre,"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening Ballari",DONE
Dr Afshan Skin & Hair Clinic,Ballari,Tuition Centre,Dr Afshan Skin & Hair Clinic Ballari,DONE
Annapoorna Skin Clinic,Ballari,Tuition Centre,Annapoorna Skin Clinic Ballari,NO WEBSITE ON MAPS
Dr Vadiraj Clinic,Ballari,Tuition Centre,Dr Vadiraj Clinic Ballari,NO WEBSITE ON MAPS
SRUSHTI HEALTH CLINIC,Ballari,Tuition Centre,SRUSHTI HEALTH CLINIC Ballari,NO PHONE ON SITE
Dr Raghu Skin Clinic,Ballari,Tuition Centre,Dr Raghu Skin Clinic Ballari,NO WEBSITE ON MAPS
Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan,Ballari,Tuition Centre,Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan Ballari,DONE
"Dr Batra’s Homeopathy, Hair & Skin Clinic",Ballari,Tuition Centre,"Dr Batra’s Homeopathy, Hair & Skin Clinic Ballari",DONE
Srushti Hair and Skin clinic,Ballari,Tuition Centre,Srushti Hair and Skin clinic Ballari,NO PHONE ON SITE
Gudi Skin Care Clinic,Ballari,Tuition Centre,Gudi Skin Care Clinic Ballari,NO WEBSITE ON MAPS
Vaibhav Skin Clinic,Ballari,Tuition Centre,Vaibhav Skin Clinic Ballari,NO WEBSITE ON MAPS
Dr praladh rao eye and skin hospital,Ballari,Tuition Centre,Dr praladh rao eye and skin hospital Ballari,NO WEBSITE ON MAPS
New Srihari clinic,Ballari,Tuition Centre,New Srihari clinic Ballari,NO WEBSITE ON MAPS
Maya Beauty Salon And Makeup Studio,Ballari,Tuition Centre,Maya Beauty Salon And Makeup Studio Ballari,DONE
