Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
ALMISBAH CAR RENTALS,,9980313017,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Car Rental,,9901184208,Mangalore,Car Rental,Y,,,,2026-03-16,
Self Drive Car Rentals Mangalore,,6360973779,Mangalore,Car Rental,Y,,,,2026-03-16,
RM Car Rentals (OPC) Private Limited.,,9740097300,Mangalore,Car Rental,Y,,,,2026-03-16,
Jeevika Car And Bike Rentals - The trusted self drive cars in Mangalore,,8073820583,Mangalore,Car Rental,Y,,,,2026-03-16,
IGOZA Taxi & Travel - Car Rental Agent & Services Mangalore,,9620227226,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Airport Self Drive Car Rental,,9480256381,Mangalore,Car Rental,Y,,,,2026-03-16,
Sri Ganesh Self Drive Cars,,9113217773,Mangalore,Car Rental,Y,,,,2026-03-16,
Ocean Rental Cars,,9964273183,Mangalore,Car Rental,Y,,,,2026-03-16,
Ruby Travels,,9886872797,Mangalore,Car Rental,Y,,,,2026-03-16,
G3 tours and travels | Car and Bike Rental in Mangalore,,9113602008,Mangalore,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Zoom Car Rental and Self-Drive Cars,,7204380284,Mangalore,Car Rental,Y,,,,2026-03-16,
SM Enterprises (A perfect travel partner),,9844264208,Mangalore,Car Rental,Y,,,,2026-03-16,
Memsis Self Drive Car Rentals,,8971345703,Mangalore,Car Rental,Y,,,,2026-03-16,
AMD'S TOURS&TRAVELS,,8088593198,Mangalore,Car Rental,Y,,,,2026-03-16,
Devi Travels,,7337771451,Mangalore,Car Rental,Y,,,,2026-03-16,
Agasthya car rental,,9035235819,Mangalore,Car Rental,Y,,,,2026-03-16,
Swastik Wheelz,,9008555222,Mangalore,Car Rental,Y,,,,2026-03-16,
Carz Links Tours And Travels,,7676282449,Mangalore,Car Rental,Y,,,,2026-03-16,
Cab World,,8904216510,Mangalore,Car Rental,Y,,,,2026-03-16,
Sri Kateel Tours & Travels ® Leading Taxi Services in Mangalore,,8448444968,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Luxury Cabs,,9591009451,Mangalore,Car Rental,Y,,,,2026-03-16,
revv - Self Drive Car Rentals,,7428370015,Mangalore,Car Rental,Y,,,,2026-03-16,
Cabs in Mangalore,,7026227400,Mangalore,Car Rental,Y,,,,2026-03-16,
RR self drive cars,,,Mangalore,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Self Drives cars and bikes Rentals Mangalore,,7975414896,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Travels Corporation - The Ultimate taxi service in Mangalore,,9880797829,Mangalore,Car Rental,Y,,,,2026-03-16,
Genuine Taxi,,9448502248,Mangalore,Car Rental,Y,,,,2026-03-16,
A2Z Tours And Travels Mangalore taxi - Cab service,,6366715620,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Taxi,,9632973868,Mangalore,Car Rental,Y,,,,2026-03-16,
MANGALORE J K TOURS AND TRAVELS,,9901288435,Mangalore,Car Rental,Y,,,,2026-03-16,
MANGALORE TAXI SERVICES,,9845798234,Mangalore,Car Rental,Y,,,,2026-03-16,
ARADHYA CABS MANGALORE,,9611003993,Mangalore,Car Rental,Y,,,,2026-03-16,
Coastalcarsselfdrivemanglore,,7204999199,Mangalore,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
SKT Tours & Travels | Cab Services in Mangalore,,9008340888,Mangalore,Car Rental,Y,,,,2026-03-16,
Steel Birdz car rentals,,6363506047,Mangalore,Car Rental,Y,,,,2026-03-16,
Rachana Travels,,9902266800,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangaluru Taxi,,9380036693,Mangalore,Car Rental,Y,,,,2026-03-16,
24Hours Mangalore Taxi,,7349676735,Mangalore,Car Rental,Y,,,,2026-03-16,
RRR TOURS AND TRAVELS,,8197909999,Mangalore,Car Rental,Y,,,,2026-03-16,
Aishwarya Travels,,9986777408,Mangalore,Car Rental,Y,,,,2026-03-16,
Brahmari Travels MANGALORE TAXI SERVICES,,8050065705,Mangalore,Car Rental,Y,,,,2026-03-16,
Avani.taxi - Mangalore Taxi Services,,7411334939,Mangalore,Car Rental,Y,,,,2026-03-16,
Mangalore Tourist Service,,8242424888,Mangalore,Car Rental,Y,,,,2026-03-16,
