Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
MANGALORE EDUCATION CENTER -Coaching classes,,7338430303,Mangalore,Tuition Centre,Y,,,,2026-03-16,
"Shreeya Academy - Best Coaching center for ICSE,CBSE, State, 8th 9th 10th tuition,SSLC, PUC ,CET in Mangalore",,8748026606,Mangalore,Tuition Centre,Y,,,,2026-03-16,
KNOWSAT LEARNING - Best CET NEET JEE 12th PUC Board engineering coaching tuition class mangalore (Crash / Vacation),,7975577636,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Akshaya Tuition & Education Centre,,8971503998,Mangalore,Tuition Centre,Y,,,,2026-03-16,
"MARS Learning Centre, Mangalore",,9845563943,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Excellent Coaching Centre,,9845323608,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Shree Durga Coaching Classes,,9945854129,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Genius coaching classes,,9886658194,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Sajitha Tuition Centre,,9845449308,Mangalore,Tuition Centre,Y,,,,2026-03-16,
VIVIDYA Mangalore - Coaching for NEET & JEE in Mangalore,,9819981671,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Toppers Coaching Classes,,9980995162,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Mahalasa Coaching Classes,,9448593557,Mangalore,Tuition Centre,Y,,,,2026-03-16,
BRILLIANT COACHING CLASSES,,9945238106,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Matha Education Mangalore,,9900814686,Mangalore,Tuition Centre,Y,,,,2026-03-16,
AUSTIN EDUCATORS Urwa (Coaching Center),,7483302699,Mangalore,Tuition Centre,Y,,,,2026-03-16,
VIDYA EDUCATION MANGALORE,,8970735809,Mangalore,Tuition Centre,Y,,,,2026-03-16,
IDEAL COACHING CLASSES,,9449487369,Mangalore,Tuition Centre,Y,,,,2026-03-16,
"Aakash Institute, Mangaluru",,8800012964,Mangalore,Tuition Centre,Y,,,,2026-03-16,
DRONA MASTERMIND ACADEMY,,8553577004,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Matha Education State bank-Mangalore,,9999999776,Mangalore,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
AISIRI TUITION CLASSES,,6360015310,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Jyothirmaya Coaching Classes,,9844509060,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Inspire Coaching Institute,,7892901755,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Mangalore Education Centre,,7338430303,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Medcity International Academy,,7406069999,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Shri Hari Coaching Centre,,9113959043,Mangalore,Tuition Centre,Y,,,,2026-03-16,
10 Students Coaching Class,,7353313447,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Royale Academy IAS Pvt Ltd (Coaching Center),,7795560555,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Boscoss Tutorials |PCMB | Classroom Coaching Mangalore/NEET long term coaching,,8242494537,Mangalore,Tuition Centre,Y,,,,2026-03-16,
"LAEL Education Institute- best ielts classes, best banking coaching, best pet coaching,spoken English, study abroad",,7899468378,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Asta Academy,,9986104019,Mangalore,Tuition Centre,Y,,,,2026-03-16,
CHIRA COACHING ACADEMY Mangalore,,7022993398,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Nethravathi Career Training Institute,,9538472202,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Vyasang Coaching Classes,,9008715771,Mangalore,Tuition Centre,Y,,,,2026-03-16,
KVC Academy Coaching Classes for CA,,7022062430,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Sharp Edge Academy,,9980785603,Mangalore,Tuition Centre,Y,,,,2026-03-16,
Ajinorah Institutions - Mangalore,,7901302000,Mangalore,Tuition Centre,Y,,,,2026-03-16,
T.I.M.E.,,8242496911,Mangalore,Tuition Centre,Y,,,,2026-03-16,
upGrad Learning Support Centre - Mangaluru,,7760061554,Mangalore,Tuition Centre,Y,,,,2026-03-16,
