Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
IICT Computer Education- Computer Training Institute in Mangalore,,8971896074,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
CTTI COMPUTER EDUCATION,,9972198683,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Enertech Academy,,6363435840,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
G-TEC COMPUTER EDUCATION MANGALORE,,8722332122,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Matha Education Mangalore,,9900814686,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
AgileTEC,,8244260555,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
A-Plus Computer Training Center,,9740640514,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Manipal Institute Of Computer Education,,9686192120,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
IICT Computer Training Center Kankanady,,9686239179,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Zen Institute,,8861422634,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Sairam Computer Education Centre,,9243307616,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Octawave Technology,,7349565249,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
ITTC,,9686799289,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Sacred Heart Career Academy,,8971896074,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
"SHARADA ACADEMY- tally courses in Mangalore, GST & Accounting Courses",,9035515874,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Asta Academy,,9986104019,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Sree Sankaracharya Institute Of Advanced Skills Mangalore,,8050006088,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
A.R.Computer institute,,8971199586,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Zephyr Learn software institute Mangalore,,7994082021,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
MITE - TECHNICAL EDUCATION CENTRE,,8310063811,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Karnataka computer institute,,8244255802,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Turbosoft Computer Academy,,9845339831,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Blueline Computers,,9900144664,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Cleancode- Best IT Job Training And Placement Institute Mangalore,,9611824939,Mangalore,Computer Training Institute,Y,,,,2026-03-16,PHONE RECOVERED
Matha Education State bank-Mangalore,,9999999776,Mangalore,Computer Training Institute,Y,,,,2026-03-16,PHONE RECOVERED
Keonics computer training centre,,8028488222,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Zephyr Technologies & Solutions Pvt Ltd – Certified Internship & Skill Training (Bangalore | Mangalore | India),,8111843307,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
"Sierra Learning Academy, Yeyyadi",,9353504965,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
MicroDegree,,8047109999,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Coastal Institute of Technology and Management- Mangalore,,8105819025,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Indian group of institution,,7848820414,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
SAP Training In Mangalore SoftPro9,,9535451414,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Supremo Astute Technologies LLP,,9742426464,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
"Tally Courses/ Tally Classes / Plasma Academy/ Computer Course, Tally GST",,8105393038,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Samsiddhi Academy,,8722239393,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
CS COMPUTER EDUCATION CENTER,,7975457874,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
A and M Edu Solution,,6364560825,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
CADD CENTRE M.G.Road Mangalore,,8242493692,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
NIIT,,8242213737,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
VIDYA EDUCATION MANGALORE,,8970735809,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Sairam Computer & Tailoring 🪡 Fashion designing Institute,,8050497366,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
CADD CENTRE BENDOORWELL,,9964922662,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
JTTF CNC CAD CAM Solutions,,7411832784,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Maks Infotech,,9743219541,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Soft Link - 5 * Tally Certified Partner,,9342449124,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
SAP Trainings in Mangalore - Trident Academy,,7975537614,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Project Guidance Mangalore Goal Technologies,,8244251407,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Queuetech solutions,,9945180705,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Mind Creative School,,8244267500,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
KGTTI - Mangaluru,,8242211477,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
A1 Logics,,8244252005,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
VAR Matrix An Edutech Company,,9380971845,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
LPOINT,,8244256456,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Star Education,,8242443905,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
SMEClabs,,9958873874,Mangalore,Computer Training Institute,Y,,,,2026-03-16,
Rural Computer Training Academy - Sharing Rural Students Skill's Development with Govt. of Karnataka,,9740536637,Mangalore,Computer Training Institute,Y,,,,2026-03-16,PHONE RECOVERED
