Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
One More Rep â€¢ STRENGTH & FITNESS,,9902642121,Mangalore,Gym,Y,,,,2026-03-16,
Zeus Fitness Club,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
Cutler fitness centre - best gym in mangalore,,9980356855,Mangalore,Gym,Y,,,,2026-03-16,
"Cult MG Road | Best Gym in MG Road, Mangalore",,7397778951,Mangalore,Gym,Y,,,,2026-03-16,
Cyborg Fitness Club,,6829669985,Mangalore,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Fire Fitness- Best gym in marnamikatte mangalore,,9591963015,Mangalore,Gym,Y,,,,2026-03-16,
IronDen,,6829669985,Mangalore,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Cobra Fitness Club,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
PHYSIQUE Unisex Gym,,9620057340,Mangalore,Gym,Y,,,,2026-03-16,
Zabt Fitness Club,,8762883999,Mangalore,Gym,Y,,,,2026-03-16,
The Muscle Factory - UNISEX GYM,,7022842270,Mangalore,Gym,Y,,,,2026-03-16,
SHAKZ FITNESS CLUB,,9980405656,Mangalore,Gym,Y,,,,2026-03-16,
ROYAL FITNESS CLUB,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
Ground Born Fight Club and Fitness Centre,,8722782512,Mangalore,Gym,Y,,,,2026-03-16,
"Kasharp Fitness Mangalore - Gym, Pilates, Spinning, Zumba, Yoga, Massage Therapy",,7204207777,Mangalore,Gym,Y,,,,2026-03-16,
Icon Fitness Club,,6362893202,Mangalore,Gym,Y,,,,2026-03-16,
MUSCLE POWER GYM,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
The Gym Rats,,8888888889,Mangalore,Gym,Y,,,,2026-03-16,
U CAN- ACHIEVE THE IMPOSSIBLE,,8888888889,Mangalore,Gym,Y,,,,2026-03-16,
Atomm Fitness Club,,7090747474,Mangalore,Gym,Y,,,,2026-03-16,
Sparks Fitness,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
Ground Sport Fitness - Bejai,,8105422007,Mangalore,Gym,Y,,,,2026-03-16,
Powerhouse gym,,9448821737,Mangalore,Gym,Y,,,,2026-03-16,
Ground Sport Fitness - Valencia,,8105422007,Mangalore,Gym,Y,,,,2026-03-16,
Biceps Fitness Centre,,9845413738,Mangalore,Gym,Y,,,,2026-03-16,
Infinity Fitness,,9396926208,Mangalore,Gym,Y,,,,2026-03-16,
Dream Fitness Club,,9396926208,Mangalore,Gym,Y,,,,2026-03-16,
IRON HUB GYM UNISEX - Best Gym in Mangalore,,,Mangalore,Gym,Y,,,,2026-03-16,PHONE MISSING
Sai fitness unisex gym,,8147763375,Mangalore,Gym,Y,,,,2026-03-16,
"Stayfit Health & Fitness World pvt ltd, Gym Equipment Center, Mangalore",,9740999094,Mangalore,Gym,Y,,,,2026-03-16,
