Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"LAEL Education Institute- best ielts classes, best banking coaching, best pet coaching,spoken English, study abroad",,7899468378,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Medcity International Academy,,7406069999,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Ajinorah Institutions - Mangalore,,7901302000,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
LangVision,,9591346471,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
The Legend - IELTS,,9845399925,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Study Metro IELTS Coaching Center,,8792358999,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
English IELTS Coach Academy,,9606629739,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Asta Academy,,9986104019,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Careershape Spoken English & IELTS Classes,,8928044949,Mangalore,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Eagle Academy & Educational Consultancy,,7204836748,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Dune Study Metro Mangalore,,8792358999,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
"Britfort Academy, Mangalore",,9164247555,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
IDP Education - Study Abroad Consultants in Mangalore,,8244411888,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
WiZdom Ed- Study Abroad Experts in Mangalore,,8169602909,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Veta Experts In Spoken English,,9341308438,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Royale Academy IAS Pvt Ltd (Coaching Center),,7795560555,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
The Global Point Overseas Education,,9449222444,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Edumpire Education and IELTS Training,,8752888818,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
MANGALORE EDUCATION CENTER -Coaching classes,,7338430303,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
The Chopras - Mangalore,,8800884851,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
ASHA SPOKEN ENGLISH ACADEMY : IELTS/TOEFL/PTE/PUBLIC SPEAKING,,8928044949,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Scepter Global,,9035549415,Mangalore,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Univerza Study Abroad and IELTS Training,,8921088331,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Lobo Global Link - IELTS Coaching centre,,,Mangalore,IELTS Coaching,Y,,,,2026-03-16,PHONE MISSING
Educonnect Academy | Best IELTS Coaching in Mangalore,,7899716333,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Mycampus,,6364378715,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Veta Mangalore,,9379766660,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Edroots International Study Abroad Mangaluru,,8244267333,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Edusphere Overseas Pvt. Ltd.,,8129440282,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Asha Careers : MBA CET I CAT I GMAT I IBPS PO I IELTS,,,Mangalore,IELTS Coaching,Y,,,,2026-03-16,PHONE MISSING
BRILLIANT COACHING CLASSES,,9945238106,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Akshaya Tuition & Education Centre,,8971503998,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
DRONA MASTERMIND ACADEMY,,8553577004,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Matha Education State bank-Mangalore,,9999999776,Mangalore,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Eduworld International,,9916784242,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Mangalore Education Centre,,7338430303,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
IDEAL COACHING CLASSES,,9449487369,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
DUNE STUDY ABROAD IN ASSOCIATION WITH STUDY METRO,,8792358999,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
Tech2People,,9060193808,Mangalore,IELTS Coaching,Y,,,,2026-03-16,
