Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Nova IVF Fertility Center - Best IVF Centre in Mangaluru (Mangalore), Karnataka",,8049436666,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
"Birla Fertility & IVF - Best IVF Centre in Mangalore, Karnataka",,7042717775,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Birla Fertility & IVF - Best IVF Centre in Mangalore,,9606996474,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Babynine Fertility & IVF Centre Dr Rashmi Nayak Mangalore,,8244051161,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Infertility Clinic in Mangalore - Dr.Nayak's Fertility Clinic & IVF Center,,8242432373,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Santhathi Centre for Reproductive Medicine,,8244278441,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Ankur Healthcare - Best | Famous | Top Andrology | IVF | Urology | Infertility Doctors | Hospital In Kadri | Mangalore,,8242212755,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Shruthi IVF Fertility Clinic,,9659656300,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr Rashmi Nayak,,9606077091,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr. Niyaf N A - IVF Specialist in Mangalore | Birla Fertility & IVF,,9606996474,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr. Gaurav Gujarathi - IVF Specialist at Birla Fertility & IVF || ARMC IVF - Mangalore,,7042717778,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr. Sapna Vinit Amin - IVF Specialist in Mangalore | Birla Fertility & IVF,,8951910911,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Drnayaks Fertility Clinic,,9845669661,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
Egg Freezing Clinic in Mangalore | Birla Fertility & IVF,,9606996474,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
PCOS Clinic in Mangalore | Birla Fertility & IVF,,9606996474,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
IUI Clinic in Mangalore | Birla Fertility & IVF,,9606996474,Mangalore,IVF Fertility Clinic,Y,,,,2026-03-16,
