Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Livspace - Interior Design Studio, Hampankatta",,8047759126,Mangalore,Interior Designer,Y,,,,2026-03-16,
Chavadi Interior designers Mangalore,,8277138098,Mangalore,Interior Designer,Y,,,,2026-03-16,
Ridhima Shetty Design Studio,,9739930232,Mangalore,Interior Designer,Y,,,,2026-03-16,
Ace Interiors & Architects,,9845500234,Mangalore,Interior Designer,Y,,,,2026-03-16,
Black Pebble Designs - Interior Designers in Mangalore,,8106071763,Mangalore,Interior Designer,Y,,,,2026-03-16,
Moduleigtt Interior Designers | Best in Mangalore | Best Architects In Mangalore,,9606938881,Mangalore,Interior Designer,Y,,,,2026-03-16,
VARAHA INTERIOR'S MANGALORE,,8310072505,Mangalore,Interior Designer,Y,,,,2026-03-16,
D'LIFE Home Interiors Mangalore,,9496062222,Mangalore,Interior Designer,Y,,,,2026-03-16,
Inland Indoors - Interior Designers Mangalore,,9686599099,Mangalore,Interior Designer,Y,,,,2026-03-16,
INTENSE INTERIOR DESIGNERS,,7411622728,Mangalore,Interior Designer,Y,,,,2026-03-16,
Bethliving,,7483511950,Mangalore,Interior Designer,Y,,,,2026-03-16,
Kreatica interiors mangalore,,8606040471,Mangalore,Interior Designer,Y,,,,2026-03-16,
Vyali Group interiors,,9632212407,Mangalore,Interior Designer,Y,,,,2026-03-16,
MULTI TOUCH INTERIOR DESIGNS,,7899822982,Mangalore,Interior Designer,Y,,,,2026-03-16,
SK SPACES,,9686824040,Mangalore,Interior Designer,Y,,,,2026-03-16,
Designers studio,,9008229888,Mangalore,Interior Designer,Y,,,,2026-03-16,
FMI Interiors,,9916004901,Mangalore,Interior Designer,Y,,,,2026-03-16,
Nivaara Home Interiors,,8073942158,Mangalore,Interior Designer,Y,,,,2026-03-16,
"HomeLane Hampankatta, Interior Design Studio",,7941058532,Mangalore,Interior Designer,Y,,,,2026-03-16,
Kitchenwise Interiors,,9900080230,Mangalore,Interior Designer,Y,,,,2026-03-16,
The Interior Studio -Plywood Veneers Laminates Lights and Decorative,,9663395388,Mangalore,Interior Designer,Y,,,,2026-03-16,
TRS Antara Interior Designs,,7483233049,Mangalore,Interior Designer,Y,,,,2026-03-16,
Elegant Interiors & Modular Kitchen . Pvt . Ltd. Mangalore,,7510104040,Mangalore,Interior Designer,Y,,,,2026-03-16,
Space Planner Construction & Interiors,,9113526253,Mangalore,Interior Designer,Y,,,,2026-03-16,
RGP Design Studio ( Architects & Interior designers ),,7760077999,Mangalore,Interior Designer,Y,,,,2026-03-16,
DSB Interior Design Studio,,9731472269,Mangalore,Interior Designer,Y,,,,2026-03-16,
WE ARE IN INTERIORS,,9447112892,Mangalore,Interior Designer,Y,,,,2026-03-16,
Kalakaar Homes,,9019731223,Mangalore,Interior Designer,Y,,,,2026-03-16,
Asta Interiors,,9902340447,Mangalore,Interior Designer,Y,,,,2026-03-16,
Decor Indoors - Interior Design Studio & Execution Unit,,7259357732,Mangalore,Interior Designer,Y,,,,2026-03-16,
IBMA INTERIORS,,9916250295,Mangalore,Interior Designer,Y,,,,2026-03-16,
The Kingdom Enterprise,,7337897690,Mangalore,Interior Designer,Y,,,,2026-03-16,
Woodland Architects,,9035174688,Mangalore,Interior Designer,Y,,,,2026-03-16,
