Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
CFAL Integrated PU College | JEE Coaching | NEET Coaching | CET Coaching | Olympiads & Foundation classes | Best in Mangalore,,9900520233,Mangalore,JEE Coaching,Y,,,,2026-03-16,
VIVIDYA Mangalore - Coaching for NEET & JEE in Mangalore,,9819981671,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Mangaluru",,8800012964,Mangalore,JEE Coaching,Y,,,,2026-03-16,
KNOWSAT LEARNING - Best CET NEET JEE 12th PUC Board engineering coaching tuition class mangalore (Crash / Vacation),,7975577636,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"MARS Learning Centre, Mangalore",,9845563943,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Allen Career Institute,,9900090058,Mangalore,JEE Coaching,Y,,,,2026-03-16,
BRILLIANT COACHING CLASSES,,9945238106,Mangalore,JEE Coaching,Y,,,,2026-03-16,
IDEAL COACHING CLASSES,,9449487369,Mangalore,JEE Coaching,Y,,,,2026-03-16,
MANGALORE EDUCATION CENTER -Coaching classes,,7338430303,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Excellent Coaching Centre,,9845323608,Mangalore,JEE Coaching,Y,,,,2026-03-16,
AUSTIN EDUCATORS Urwa (Coaching Center),,7483302699,Mangalore,JEE Coaching,Y,,,,2026-03-16,
DRONA MASTERMIND ACADEMY,,8553577004,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Exams24x7,,7760077722,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Boscoss Tutorials |PCMB | Classroom Coaching Mangalore/NEET long term coaching,,8242494537,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"Shreeya Academy - Best Coaching center for ICSE,CBSE, State, 8th 9th 10th tuition,SSLC, PUC ,CET in Mangalore",,8748026606,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Expert PU College - Kodialbail,,8242495996,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Vibrant NEET LONG TERM coaching or Repeaters batch Top and Best residential NEET coaching in Mangalore and Karnataka,,7411417028,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"ALLEN Career Institute - Vikas Group Campus, Mangaluru | IIT JEE, NEET & Foundation Coaching",,9606983193,Mangalore,JEE Coaching,Y,,,,2026-03-16,
CHIRA COACHING ACADEMY Mangalore,,7022993398,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Shree Durga Coaching Classes,,9945854129,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"Expert PU College, Valachil Campus",,8242237696,Mangalore,JEE Coaching,Y,,,,2026-03-16,
10 Students Coaching Class,,7353313447,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Inspire Coaching Institute,,7892901755,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Alva's JEE REPEATERS BATCH (JEE long term coaching),,8884499717,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Boscoss PU College Mangaluru,,8242982537,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Spoorthi Medical Academy,,9448955603,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Alva's NEET long term coaching,,6366377827,Mangalore,JEE Coaching,Y,,,,2026-03-16,
SRI CHAITANYA PU/CBSE (+2) COLLEGE MANGALORE,,7619253037,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Akshara Coaching Classes,,8242400228,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Dr Bhatia Medical Coaching Institute (DBMCI) Office,,7022296999,Mangalore,JEE Coaching,Y,,,,2026-03-16,
3SK Academy,,9739003927,Mangalore,JEE Coaching,Y,,,,2026-03-16,
DQ Labs Mangalore | NIFT | NID | CEED | UCEED | NATA coaching centre Mangalore,,7624955282,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Trisha classes,,9740551602,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Eagle Academy & Educational Consultancy,,7204836748,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Genius coaching classes,,9886658194,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Austin Educators - Kankanady,,,Mangalore,JEE Coaching,Y,,,,2026-03-16,PHONE MISSING
VIVIDYA - AGNES Knowledge Sharing Center,,7975543267,Mangalore,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Safal Coaching Center Mangalore,,8244285551,Mangalore,JEE Coaching,Y,,,,2026-03-16,
IAS Coaching Mangalore - SIA,,9481033331,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Nethravathi Career Training Institute,,9538472202,Mangalore,JEE Coaching,Y,,,,2026-03-16,
New Vibrant PU College Best residential PU college with NEET and JEE coaching,,7411417028,Mangalore,JEE Coaching,Y,,,,2026-03-16,
T.I.M.E.,,8242496911,Mangalore,JEE Coaching,Y,,,,2026-03-16,
IBS Institute MANGALORE,,9945238106,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Cedees,,8123992799,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Dhaarini Academy of Technical Education BE MTech PhD tuition & Projects,,8867206240,Mangalore,JEE Coaching,Y,,,,2026-03-16,
The Learning Centre ( TLC ) | Cambridge School | Best STEM School in Mangalore,,9900520233,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"Canara Vikaas Pre-University College, Mangalore",,8050110222,Mangalore,JEE Coaching,Y,,,,2026-03-16,
KAS Coaching Mangalore,,9481033331,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Narayana Junior College - Mangalore,,7349738565,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Sharada PU College Mangalore,,7483817602,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Vividya Coaching Institute (Main Centre & Head Office),,9819981671,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Clevercoast education,,8660644325,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Tangent classes,,9608807119,Mangalore,JEE Coaching,Y,,,,2026-03-16,
NIT Karnataka,,8242474000,Mangalore,JEE Coaching,Y,,,,2026-03-16,
"DAMS, Mangalore",,9036048191,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Alvas Academy for Excellence,,9611686147,Mangalore,JEE Coaching,Y,,,,2026-03-16,
UCMAS MANGALORE,,9900530305,Mangalore,JEE Coaching,Y,,,,2026-03-16,
Xylem learning Mangalore Campus,,7356580900,Mangalore,JEE Coaching,Y,,,,2026-03-16,
