Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
LDR Modular Furniture Pvt Ltd.,,9880972079,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Elegant Interiors & Modular Kitchen . Pvt . Ltd. Mangalore,,7510104040,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Ambiente Mangalore,,8244254707,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Kitchenwise Interiors,,9900080230,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Ujwal Kitchens,,9632484320,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
The Kitchen World,,8244255961,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Sterling Kitchens,,9845612574,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
"Bastikar Enterprises - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,9999999999,Mangalore,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Bethliving,,7483511950,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Grooves & Joints,,9448482883,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
HAFELE - BLUM STUDIO,,7353280123,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Olivesteel Solutions,,7353374444,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Cromatica Stainless Steel Kitchens and Interiors Mangalore,,8951390887,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
"Livspace - Interior Design Studio, Hampankatta",,8047759126,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Ace Foods Pvt Ltd,,8242211578,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Aroma Interior Concepts,,9060999946,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Bhramari Doors & Interiors,,9449714551,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Saras Designer Solutions - Crompton Brand Store,,7353260123,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Modern Kitchens and Presto Exclusive Outlet,,8242211578,Mangalore,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Moduleigtt Interior Designers | Best in Mangalore | Best Architects In Mangalore,,9606938881,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Inland Indoors - Interior Designers Mangalore,,9686599099,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Baliga Sales & Service (A Multi-Brand Retail Store),,7204456789,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
VK Living Concept,,7026637704,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
The Kingdom Enterprise,,7337897690,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Wurfel Kuche,,7598572859,Mangalore,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Atelier Designs,,7204097368,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Space Avenue,,9742531212,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Chavadi Interior designers Mangalore,,8277138098,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Dream Kitchen & Interiors,,9008032347,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Nilkamal Homes- Premium Furniture and Homeware store,,8246816704,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Akaar innovations,,8244255740,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Black Pebble Designs - Interior Designers in Mangalore,,8106071763,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Dream Homez Decor,,7338399205,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
D'LIFE Home Interiors Mangalore,,9496062222,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
VK Furniture & Electronics,,8748800666,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Kalakaar Homes,,9019731223,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
MODULA WOOD INTERIORS,,7795336555,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
K Vaikunta Kudva & Co,,8242496840,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
"HomeLane Hampankatta, Interior Design Studio",,7941058532,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Velankanni Enterprises,,9448475166,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
AP Beautiful Homes Bastikar Enterprises,,9945104347,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
IBMA INTERIORS,,9916250295,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Vyali Group interiors,,9632212407,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
SK SPACES,,9686824040,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
"Godrej Interio - Furniture Store in Urwa, Mangalore",,9740842696,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
Interior Designer - Infinity Kitchen Solutions,,8880661111,Mangalore,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
IVAS Modular Kitchen & Wardrobe - Mangaluru,,9900080007,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
J K Interiors,,8296882823,Mangalore,Modular Kitchen,Y,,,,2026-03-16,
