Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
The Skin Clinic,,6360753030,Mangalore,Skin Clinic,Y,,,,2026-03-16,
VISH Skin Clinic,,8242430559,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr. Anusha Pai Mangalore,,9741283429,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Skin 360,,9738287177,Mangalore,Skin Clinic,Y,,,,2026-03-16,
RAO Skin & Hair Clinic,,7204342761,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"Dr. Pramod Kumar's Skin Clinic. Dermatologist , Mangalore.",,8217636420,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"UVA Skin, Hair & Cosmetology Clinic - Dr Myfanwy Dsouza",,8073228155,Mangalore,Skin Clinic,Y,,,,2026-03-16,
The First Layer - Female Dermatologist in Mangalore,,9019158989,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Pulse Skin & Hair Clinic,,9886431459,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Derma-Care,,8242440923,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"VCare Hair & Skin Clinic - Mangalore | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr. Jacintha Martis,,8244264912,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Belaku skin clinic,,8951622660,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dira Aesthetics - Dermatology and Plastic Surgery Clinic - Dr. Ramya Shruthi J,,9035353111,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr. M Suvir | Best Dermatologist in Mangaluru,,9164103722,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Rao Skin Clinic,,7204342761,Mangalore,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr. Kashinath Nayak | Best Dermatologist in Mangalore,,8242222227,Mangalore,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Skin Clinic,,9620123030,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Vijetha Rai,,8951679648,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"Dr. Ganesh S. Pai-Dermatologist,",,8244260959,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Skin Clinic : Dr. Nandakishore B,,8242425677,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Spandana P Hegde: Dermis Skin & Hair Care | Best Dermatologist in Mangaluru,,8310960780,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Skin Code by Dr Snigdha Hegde,,7204093803,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Skin Care N Cure: Dr. Balasaraswathy,,8242441772,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"Dr. Vinma H Shetty, 14+ yrs of Exp | Best Dermatologist in Dakshina Kannada | Skin & Hair Specialist",,8046961837,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Girish P N,,8242225626,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Manjunath Shenoy MIDAS Clinic,,9480630253,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Vriddhi Skin Clinic,,9886121497,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Pinto Jerome Patric,,8242422166,Mangalore,Skin Clinic,Y,,,,2026-03-16,
SOULBLUSH wellness centre,,8884875677,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr Sayeeda Mogral,,8242434284,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Earthy by Ellenza,,9741861767,Mangalore,Skin Clinic,Y,,,,2026-03-16,
Dr.Aparna Amin's Aesthetika Skin clinic,,8050248080,Mangalore,Skin Clinic,Y,,,,2026-03-16,
"DyuSculpt Aesthetic Clinic - Plastic Surgery, Cosmetic Gynaecology & Laser Centre",,8891400489,Mangalore,Skin Clinic,Y,,,,2026-03-16,
